nupdates,explained_variance,value_loss,total_timesteps,policy_entropy,fps
91400,0.9285670965909958,0.01544964499771595,7312000,0.7696041464805603,1283
91500,0.954213336110115,0.01822368986904621,7320000,0.8658739924430847,1283
91600,0.8362962603569031,0.09241006523370743,7328000,0.9092375636100769,1283
91700,0.9604545459151268,0.015489453449845314,7336000,0.7436639070510864,1283
91800,0.9377020299434662,0.18478228151798248,7344000,0.8672300577163696,1283
91900,0.9359927624464035,0.013867351226508617,7352000,0.9014347791671753,1284
92000,0.9290720894932747,0.042590461671352386,7360000,0.8624354600906372,1284
92100,0.9198111295700073,0.021481212228536606,7368000,0.9376131892204285,1284
92200,0.7526743859052658,0.23426392674446106,7376000,0.8211777806282043,1284
92300,0.8847906291484833,0.08873474597930908,7384000,0.862684428691864,1284
92400,0.957909133285284,0.03867592662572861,7392000,0.8462009429931641,1284
92500,0.8655666708946228,0.03390292823314667,7400000,0.9015611410140991,1284
92600,0.5147321820259094,0.9020546674728394,7408000,0.9186171293258667,1284
92700,0.8797469213604927,0.25078868865966797,7416000,0.9198595285415649,1285
92800,0.9443568028509617,0.015430217608809471,7424000,0.9060091972351074,1285
92900,0.9014118015766144,0.030039792880415916,7432000,0.8478748202323914,1285
93000,0.8833008259534836,0.05871334671974182,7440000,0.8872416615486145,1285
93100,0.9292464181780815,0.03294391185045242,7448000,0.8959389925003052,1285
93200,0.7318899631500244,0.19321925938129425,7456000,0.7777227163314819,1285
93300,0.9099909588694572,0.06408336013555527,7464000,0.7772364616394043,1285
93400,0.9241518378257751,0.022404130548238754,7472000,0.9063786268234253,1285
93500,0.46396493911743164,0.13758468627929688,7480000,0.8291565179824829,1285
93600,0.9644546508789062,0.026760194450616837,7488000,0.7000592947006226,1286
93700,0.7860946953296661,0.29971152544021606,7496000,0.948650062084198,1286
93800,0.8690197765827179,0.05134405568242073,7504000,0.8631677627563477,1286
93900,0.9434221610426903,0.025691146031022072,7512000,0.8465849161148071,1286
94000,0.9236227720975876,0.053383756428956985,7520000,0.8675436973571777,1286
94100,0.7813147306442261,0.17143723368644714,7528000,0.8582664728164673,1286
94200,0.9062277302145958,0.032655782997608185,7536000,0.8566878437995911,1286
94300,0.520308256149292,0.22548428177833557,7544000,0.7502700686454773,1286
94400,0.8724019229412079,0.2751877009868622,7552000,0.8347855806350708,1287
94500,0.5417238175868988,0.3775154948234558,7560000,0.8468573689460754,1287
94600,0.8517828434705734,0.025185802951455116,7568000,0.8073529005050659,1287
94700,0.8690318316221237,0.039992980659008026,7576000,0.7819160223007202,1287
94800,0.7592849135398865,0.2048274278640747,7584000,0.9160879254341125,1287
94900,0.936526246368885,0.017112258821725845,7592000,0.9820947647094727,1287
95000,0.8796858787536621,0.31453758478164673,7600000,0.8548860549926758,1287
95100,0.9456324055790901,0.02247694693505764,7608000,0.7757877111434937,1287
95200,0.9534484185278416,0.034366853535175323,7616000,0.896331787109375,1288
95300,0.812297597527504,0.05525858327746391,7624000,0.9608661532402039,1288
95400,0.8843906819820404,0.026764368638396263,7632000,0.8246694803237915,1288
95500,0.6490814685821533,0.13765212893486023,7640000,0.8667950630187988,1288
95600,0.9817655086517334,0.03872663527727127,7648000,0.6410552859306335,1288
95700,0.9817072860896587,0.011932479217648506,7656000,0.8339951634407043,1288
95800,0.8963488563895226,0.024862488731741905,7664000,0.800072193145752,1288
95900,0.9259836673736572,0.08204971253871918,7672000,0.8279131054878235,1288
96000,0.9494442157447338,0.03197239339351654,7680000,0.8035540580749512,1288
96100,0.9060467109084129,0.03781804442405701,7688000,0.9486507177352905,1289
96200,0.9329929128289223,0.02934621274471283,7696000,0.796343982219696,1289
96300,0.9157804325222969,0.08508691936731339,7704000,0.6670838594436646,1289
96400,0.9751388616859913,0.013629244640469551,7712000,0.886203408241272,1289
96500,0.6919251978397369,0.2881140112876892,7720000,0.9124377965927124,1289
96600,0.8829592540860176,0.13567794859409332,7728000,0.8451997637748718,1289
96700,0.8256071656942368,0.07226204127073288,7736000,0.864044189453125,1289
96800,0.9229041710495949,0.02146071568131447,7744000,0.9073017239570618,1289
96900,0.907236859202385,0.049025870859622955,7752000,0.8989626169204712,1290
97000,0.914935827255249,0.14181844890117645,7760000,0.9202970266342163,1290
97100,0.9796998165547848,0.012931925244629383,7768000,0.9279659986495972,1290
97200,0.9896692130714655,0.048685312271118164,7776000,0.8720741271972656,1290
97300,0.930276520550251,0.03877691179513931,7784000,0.9304360151290894,1290
97400,0.9427040033042431,0.06210986524820328,7792000,0.8979940414428711,1290
97500,0.9815006572753191,0.03452402353286743,7800000,0.9481569528579712,1290
97600,0.9568479806184769,0.027561578899621964,7808000,0.8648950457572937,1290
